"","n.grads","years","growth"
"1",NA,"1989","Unknown"
"2",NA,"1990","Unknown"
"3",NA,"1991","Unknown"
"4",NA,"1992","Unknown"
"5",NA,"1993","Unknown"
"6",NA,"1994","Unknown"
"7",NA,"1995","Unknown"
"8",NA,"1996","Unknown"
"9",NA,"1997","Unknown"
"10",NA,"1998","Unknown"
"11",NA,"1999","Unknown"
"12",NA,"2000","Unknown"
"13",NA,"2001","Unknown"
"14",238,"2002","Unknown"
"15",273,"2003","Increase"
"16",304,"2004","Increase"
"17",323,"2005","Decrease"
"18",308,"2006","Decrease"
"19",287,"2007","Decrease"
"20",338,"2008","Increase"
"21",332,"2009","Decrease"
"22",308,"2010","Decrease"
"23",289,"2011","Decrease"
"24",280,"2012","Decrease"
"25",NA,"2013","Unknown"
